,date,species,plant,rep,input_by,potted,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes_on_plant_char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_fh,fh,time_of_glow_end,end_time,thermocoupler_height,hotplate_height,notes_on_flam_data,Species,end_ct,glow_start_ct,glow_end_ct,maxflameht_ct,firstigstart_ct,secondigstart_ct,firstigend_ct,secondigend_ct
22,2022-08-03,ARTCAL,5.0,6.0,SM,yes,25.0,2.6,2.0,17.87,1.0,0.12,,2023-06-19 14:02:31,2023-06-19 00:00:26,32.3,38.0,0.0,,1,2023-06-19 00:04:14,2023-06-19 00:04:21,,,,,2023-06-19 00:04:14,18.0,2023-06-19 00:08:31,2023-06-19 00:08:31,19.0,16.5,,ARTCAL,2023-06-19 14:10:36,,2023-06-19 14:10:36,2023-06-19 14:06:19,2023-06-19 14:06:19,,2023-06-19 14:06:26,
23,2022-08-03,ARTCAL,6.0,3.0,SM,yes,25.0,10.5,4.2,18.64,4.0,0.22999999999999998,,2023-06-19 14:32:24,2023-06-19 00:00:47,33.0,35.0,1.0,2023-06-19 00:01:34,0,,,,,,,,,2023-06-19 00:21:31,2023-06-19 00:21:31,19.0,16.5,,ARTCAL,2023-06-19 14:53:08,2023-06-19 14:33:11,2023-06-19 14:53:08,,,,,
24,2022-08-25,ARTCAL,7.0,1.0,RD,yes,25.0,1.0,0.5,17.95,0.0,0.155,,2023-06-19 11:02:05,2023-06-19 00:00:37,30.6,46.0,1.0,2023-06-19 00:03:08,0,,,,,,,,,2023-06-19 00:06:03,2023-06-19 00:06:03,19.0,15.0,,ARTCAL,2023-06-19 11:07:31,2023-06-19 11:04:36,2023-06-19 11:07:31,,,,,
25,2022-08-25,ARTCAL,7.0,2.0,RD,yes,25.0,6.0,3.0,18.47,8.0,0.15,sub-branches are very small- 2-3 cm,2023-06-19 11:08:43,2023-06-19 00:00:19,31.1,44.0,1.0,2023-06-19 00:00:53,0,,,,,,,,,2023-06-19 00:05:39,2023-06-19 00:05:39,19.0,15.0,,ARTCAL,2023-06-19 11:14:03,2023-06-19 11:09:17,2023-06-19 11:14:03,,,,,
26,2022-08-25,ARTCAL,7.0,3.0,RD,yes,25.0,3.9,2.4,18.26,2.0,0.135,,2023-06-19 11:15:26,2023-06-19 00:00:38,30.8,45.0,1.0,2023-06-19 00:01:19,0,,,,,,,,,2023-06-19 00:03:53,2023-06-19 00:03:53,19.0,15.0,,ARTCAL,2023-06-19 11:18:41,2023-06-19 11:16:07,2023-06-19 11:18:41,,,,,
27,2022-08-25,ARTCAL,7.0,4.0,RD,yes,25.0,5.0,3.6,18.83,6.0,0.135,,2023-06-19 11:27:42,2023-06-19 00:00:40,31.7,42.0,1.0,2023-06-19 00:01:03,1,2023-06-19 00:01:43,2023-06-19 00:01:58,,,,,2023-06-19 00:01:44,24.0,2023-06-19 00:06:14,2023-06-19 00:06:14,19.0,15.0,,ARTCAL,2023-06-19 11:33:16,2023-06-19 11:28:05,2023-06-19 11:33:16,2023-06-19 11:28:46,2023-06-19 11:28:45,,2023-06-19 11:29:00,
28,2022-08-25,ARTCAL,7.0,5.0,RD,yes,25.0,1.5,0.5,17.65,0.0,0.12,,2023-06-19 11:34:42,2023-06-19 00:00:33,31.9,41.0,1.0,2023-06-19 00:01:45,0,,,,,,,,,2023-06-19 00:03:43,2023-06-19 00:03:43,19.0,15.0,,ARTCAL,2023-06-19 11:37:52,2023-06-19 11:35:54,2023-06-19 11:37:52,,,,,
29,2022-08-25,ARTCAL,7.0,6.0,RD,yes,25.0,2.0,1.0,17.86,0.0,0.18,,2023-06-19 11:45:44,2023-06-19 00:00:37,33.0,38.0,1.0,2023-06-19 00:02:02,0,,,,,,,,,2023-06-19 00:04:00,2023-06-19 00:04:00,19.0,15.0,,ARTCAL,2023-06-19 11:49:07,2023-06-19 11:47:09,2023-06-19 11:49:07,,,,,
30,2022-08-25,ARTCAL,7.0,7.0,RD,yes,25.0,13.4,7.6,19.1,3.0,0.16999999999999998,,2023-06-19 11:54:55,2023-06-19 00:00:36,33.1,38.0,1.0,2023-06-19 00:00:50,1,2023-06-19 00:02:05,2023-06-19 00:02:08,,,,,2023-06-19 00:02:05,16.0,2023-06-19 00:03:08,2023-06-19 00:03:08,19.0,15.0,,ARTCAL,2023-06-19 11:57:27,2023-06-19 11:55:09,2023-06-19 11:57:27,2023-06-19 11:56:24,2023-06-19 11:56:24,,2023-06-19 11:56:27,
31,2022-08-25,ARTCAL,8.0,1.0,RD,yes,22.0,2.0,1.6,17.52,0.0,0.15,,2023-06-19 12:52:32,2023-06-19 00:00:46,33.1,37.0,1.0,2023-06-19 00:00:58,0,,,,,,,,,2023-06-19 00:05:40,2023-06-19 00:05:40,19.0,15.0,,ARTCAL,2023-06-19 12:57:26,2023-06-19 12:52:44,2023-06-19 12:57:26,,,,,
