Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
59,2023/03/08 14:40:39,0,+  49.6,+  45.6,+ 143.0,+ 117.2,+  53.5,+  46.4,+ 0.307,+ 0.105,LLLLLLLLLL,LLLL
60,2023/03/08 14:40:39,500,+  49.6,+  45.6,+ 143.1,+ 117.2,+  53.5,+  46.3,+ 0.394,+ 0.106,LLLLLLLLLL,LLLL
61,2023/03/08 14:40:40,0,+  49.6,+  45.6,+ 143.1,+ 117.3,+  53.4,+  46.3,+ 0.372,+ 0.099,LLLLLLLLLL,LLLL
62,2023/03/08 14:40:40,500,+  49.6,+  45.7,+ 143.1,+ 117.4,+  53.5,+  46.4,+ 0.325,+ 0.099,LLLLLLLLLL,LLLL
63,2023/03/08 14:40:41,0,+  49.6,+  45.7,+ 143.2,+ 117.5,+  53.5,+  46.4,+ 0.333,+ 0.099,LLLLLLLLLL,LLLL
64,2023/03/08 14:40:41,500,+  49.6,+  45.8,+ 143.1,+ 117.6,+  53.5,+  46.4,+ 0.304,+ 0.101,LLLLLLLLLL,LLLL
65,2023/03/08 14:40:42,0,+  49.6,+  45.8,+ 143.1,+ 117.6,+  53.5,+  46.4,+ 0.312,+ 0.104,LLLLLLLLLL,LLLL
66,2023/03/08 14:40:42,500,+  49.7,+  45.8,+ 143.0,+ 117.7,+  53.5,+  46.4,+ 0.249,+ 0.104,LLLLLLLLLL,LLLL
67,2023/03/08 14:40:43,0,+  49.7,+  45.8,+ 143.0,+ 117.7,+  53.6,+  46.4,+ 0.238,+ 0.100,LLLLLLLLLL,LLLL
68,2023/03/08 14:40:43,500,+  49.8,+  45.9,+ 142.9,+ 117.9,+  53.5,+  46.4,+ 0.203,+ 0.097,LLLLLLLLLL,LLLL
69,2023/03/08 14:40:44,0,+  49.8,+  45.9,+ 142.8,+ 117.9,+  53.6,+  46.4,+ 0.347,+ 0.102,LLLLLLLLLL,LLLL
70,2023/03/08 14:40:44,500,+  49.8,+  46.0,+ 142.8,+ 118.1,+  53.6,+  46.4,+ 0.348,+ 0.106,LLLLLLLLLL,LLLL
71,2023/03/08 14:40:45,0,+  49.8,+  46.0,+ 142.8,+ 118.2,+  53.6,+  46.4,+ 0.315,+ 0.100,LLLLLLLLLL,LLLL
72,2023/03/08 14:40:45,500,+  49.9,+  46.1,+ 142.7,+ 118.3,+  53.6,+  46.4,+ 0.256,+ 0.106,LLLLLLLLLL,LLLL
73,2023/03/08 14:40:46,0,+  49.9,+  46.1,+ 142.8,+ 118.3,+  53.6,+  46.4,+ 0.308,+ 0.099,LLLLLLLLLL,LLLL
74,2023/03/08 14:40:46,500,+  49.9,+  46.1,+ 142.8,+ 118.5,+  53.6,+  46.4,+ 0.294,+ 0.097,LLLLLLLLLL,LLLL
75,2023/03/08 14:40:47,0,+  49.9,+  46.2,+ 142.8,+ 118.6,+  53.7,+  46.4,+ 0.341,+ 0.105,LLLLLLLLLL,LLLL
76,2023/03/08 14:40:47,500,+  50.0,+  46.3,+ 142.9,+ 118.6,+  53.7,+  46.4,+ 0.330,+ 0.107,LLLLLLLLLL,LLLL
77,2023/03/08 14:40:48,0,+  50.0,+  46.3,+ 143.0,+ 118.8,+  53.7,+  46.4,+ 0.422,+ 0.108,LLLLLLLLLL,LLLL
78,2023/03/08 14:40:48,500,+  50.0,+  46.4,+ 143.0,+ 118.8,+  53.7,+  46.5,+ 0.328,+ 0.118,LLLLLLLLLL,LLLL
79,2023/03/08 14:40:49,0,+  50.1,+  46.4,+ 143.0,+ 118.9,+  53.7,+  46.5,+ 0.344,+ 0.108,LLLLLLLLLL,LLLL
80,2023/03/08 14:40:49,500,+  50.1,+  46.5,+ 143.1,+ 118.9,+  53.8,+  46.5,+ 0.324,+ 0.100,LLLLLLLLLL,LLLL
81,2023/03/08 14:40:50,0,+  50.1,+  46.5,+ 143.1,+ 119.0,+  53.8,+  46.4,+ 0.175,+ 0.102,LLLLLLLLLL,LLLL
82,2023/03/08 14:40:50,500,+  50.1,+  46.5,+ 143.1,+ 119.1,+  53.8,+  46.4,+ 0.342,+ 0.098,LLLLLLLLLL,LLLL
83,2023/03/08 14:40:51,0,+  50.1,+  46.6,+ 143.2,+ 119.1,+  53.8,+  46.4,+ 0.361,+ 0.102,LLLLLLLLLL,LLLL
84,2023/03/08 14:40:51,500,+  50.1,+  46.6,+ 143.3,+ 119.3,+  53.8,+  46.4,+ 0.300,+ 0.104,LLLLLLLLLL,LLLL
85,2023/03/08 14:40:52,0,+  50.2,+  46.7,+ 143.3,+ 119.4,+  53.9,+  46.4,+ 0.294,+ 0.107,LLLLLLLLLL,LLLL
86,2023/03/08 14:40:52,500,+  50.2,+  46.7,+ 143.3,+ 119.4,+  53.9,+  46.4,+ 0.218,+ 0.109,LLLLLLLLLL,LLLL
87,2023/03/08 14:40:53,0,+  50.2,+  46.8,+ 143.3,+ 119.5,+  53.9,+  46.4,+ 0.341,+ 0.114,LLLLLLLLLL,LLLL
88,2023/03/08 14:40:53,500,+  50.2,+  46.9,+ 143.4,+ 119.5,+  53.9,+  46.5,+ 0.278,+ 0.103,LLLLLLLLLL,LLLL
89,2023/03/08 14:40:54,0,+  50.2,+  46.9,+ 143.4,+ 119.6,+  54.0,+  46.6,+ 0.345,+ 0.110,LLLLLLLLLL,LLLL
90,2023/03/08 14:40:54,500,+  50.2,+  46.9,+ 143.4,+ 119.7,+  53.9,+  46.6,+ 0.374,+ 0.113,LLLLLLLLLL,LLLL
91,2023/03/08 14:40:55,0,+  50.2,+  46.9,+ 143.4,+ 119.7,+  53.9,+  46.6,+ 0.322,+ 0.111,LLLLLLLLLL,LLLL
92,2023/03/08 14:40:55,500,+  50.2,+  47.0,+ 143.3,+ 119.8,+  53.9,+  46.6,+ 0.293,+ 0.099,LLLLLLLLLL,LLLL
93,2023/03/08 14:40:56,0,+  50.2,+  47.0,+ 143.3,+ 119.8,+  53.9,+  46.6,+ 0.382,+ 0.101,LLLLLLLLLL,LLLL
94,2023/03/08 14:40:56,500,+  50.2,+  47.0,+ 143.2,+ 119.9,+  54.0,+  46.6,+ 0.314,+ 0.111,LLLLLLLLLL,LLLL
95,2023/03/08 14:40:57,0,+  50.2,+  47.1,+ 143.1,+ 120.0,+  54.0,+  46.7,+ 0.313,+ 0.106,LLLLLLLLLL,LLLL
96,2023/03/08 14:40:57,500,+  50.2,+  47.2,+ 143.2,+ 120.1,+  54.0,+  46.7,+ 0.275,+ 0.099,LLLLLLLLLL,LLLL
97,2023/03/08 14:40:58,0,+  50.2,+  47.2,+ 143.2,+ 120.1,+  54.0,+  46.7,+ 0.315,+ 0.102,LLLLLLLLLL,LLLL
98,2023/03/08 14:40:58,500,+  50.3,+  47.2,+ 143.1,+ 120.2,+  54.1,+  46.8,+ 0.328,+ 0.108,LLLLLLLLLL,LLLL
99,2023/03/08 14:40:59,0,+  50.3,+  47.2,+ 143.1,+ 120.2,+  54.2,+  46.8,+ 0.306,+ 0.111,LLLLLLLLLL,LLLL
100,2023/03/08 14:40:59,500,+  50.4,+  47.2,+ 143.1,+ 120.2,+  54.2,+  46.8,+ 0.314,+ 0.112,LLLLLLLLLL,LLLL
101,2023/03/08 14:41:00,0,+  50.4,+  47.3,+ 143.1,+ 120.3,+  54.2,+  46.9,+ 0.273,+ 0.102,LLLLLLLLLL,LLLL
102,2023/03/08 14:41:00,500,+  50.4,+  47.3,+ 143.1,+ 120.4,+  54.2,+  46.8,+ 0.302,+ 0.110,LLLLLLLLLL,LLLL
103,2023/03/08 14:41:01,0,+  50.4,+  47.4,+ 143.0,+ 120.4,+  54.2,+  46.9,+ 0.306,+ 0.100,LLLLLLLLLL,LLLL
104,2023/03/08 14:41:01,500,+  50.4,+  47.5,+ 143.2,+ 120.5,+  54.2,+  46.9,+ 0.337,+ 0.117,LLLLLLLLLL,LLLL
105,2023/03/08 14:41:02,0,+  50.4,+  47.5,+ 143.3,+ 120.6,+  54.2,+  46.9,+ 0.240,+ 0.100,LLLLLLLLLL,LLLL
106,2023/03/08 14:41:02,500,+  50.4,+  47.5,+ 143.3,+ 120.6,+  54.2,+  46.9,+ 0.231,+ 0.111,LLLLLLLLLL,LLLL
107,2023/03/08 14:41:03,0,+  50.5,+  47.5,+ 143.4,+ 120.7,+  54.2,+  46.8,+ 0.264,+ 0.109,LLLLLLLLLL,LLLL
108,2023/03/08 14:41:03,500,+  50.5,+  47.6,+ 143.4,+ 120.8,+  54.2,+  46.8,+ 0.288,+ 0.107,LLLLLLLLLL,LLLL
109,2023/03/08 14:41:04,0,+  50.5,+  47.6,+ 143.5,+ 121.0,+  54.2,+  46.8,+ 0.283,+ 0.106,LLLLLLLLLL,LLLL
110,2023/03/08 14:41:04,500,+  50.5,+  47.6,+ 143.6,+ 121.0,+  54.2,+  46.8,+ 0.329,+ 0.110,LLLLLLLLLL,LLLL
111,2023/03/08 14:41:05,0,+  50.5,+  47.6,+ 143.7,+ 121.1,+  54.2,+  46.8,+ 0.274,+ 0.108,LLLLLLLLLL,LLLL
112,2023/03/08 14:41:05,500,+  50.5,+  47.6,+ 143.8,+ 121.2,+  54.3,+  46.8,+ 0.374,+ 0.109,LLLLLLLLLL,LLLL
113,2023/03/08 14:41:06,0,+  50.6,+  47.7,+ 143.9,+ 121.3,+  54.3,+  46.8,+ 0.227,+ 0.112,LLLLLLLLLL,LLLL
114,2023/03/08 14:41:06,500,+  50.6,+  47.7,+ 144.0,+ 121.3,+  54.2,+  46.9,+ 0.354,+ 0.108,LLLLLLLLLL,LLLL
