Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
69,2023/03/08 11:43:14,0,+  52.8,+  46.1,+ 150.0,+ 117.0,+ 115.2,+  97.7,+ 0.336,+ 0.150,LLLLLLLLLL,LLLL
70,2023/03/08 11:43:14,500,+  53.0,+  46.2,+ 150.4,+ 117.2,+ 115.4,+  97.8,+ 0.272,+ 0.154,LLLLLLLLLL,LLLL
71,2023/03/08 11:43:15,0,+  53.1,+  46.3,+ 150.7,+ 117.4,+ 115.5,+  97.8,+ 0.377,+ 0.163,LLLLLLLLLL,LLLL
72,2023/03/08 11:43:15,500,+  53.3,+  46.3,+ 151.0,+ 117.5,+ 115.5,+  97.8,+ 0.350,+ 0.159,LLLLLLLLLL,LLLL
73,2023/03/08 11:43:16,0,+  53.4,+  46.3,+ 151.3,+ 117.6,+ 115.7,+  97.8,+ 0.349,+ 0.150,LLLLLLLLLL,LLLL
74,2023/03/08 11:43:16,500,+  53.4,+  46.4,+ 151.7,+ 117.9,+ 115.8,+  98.1,+ 0.285,+ 0.159,LLLLLLLLLL,LLLL
75,2023/03/08 11:43:17,0,+  53.6,+  46.4,+ 152.0,+ 118.0,+ 116.0,+  98.2,+ 0.381,+ 0.150,LLLLLLLLLL,LLLL
76,2023/03/08 11:43:17,500,+  53.7,+  46.5,+ 152.4,+ 118.2,+ 116.1,+  98.4,+ 0.382,+ 0.147,LLLLLLLLLL,LLLL
77,2023/03/08 11:43:18,0,+  53.8,+  46.5,+ 152.8,+ 118.4,+ 116.2,+  98.5,+ 0.315,+ 0.143,LLLLLLLLLL,LLLL
78,2023/03/08 11:43:18,500,+  53.9,+  46.6,+ 153.0,+ 118.6,+ 116.3,+  98.5,+ 0.240,+ 0.138,LLLLLLLLLL,LLLL
79,2023/03/08 11:43:19,0,+  54.0,+  46.6,+ 153.2,+ 118.8,+ 116.4,+  98.5,+ 0.388,+ 0.149,LLLLLLLLLL,LLLL
80,2023/03/08 11:43:19,500,+  54.2,+  46.7,+ 153.5,+ 119.0,+ 116.5,+  98.6,+ 0.390,+ 0.154,LLLLLLLLLL,LLLL
81,2023/03/08 11:43:20,0,+  54.2,+  46.7,+ 153.6,+ 119.1,+ 116.5,+  98.6,+ 0.373,+ 0.151,LLLLLLLLLL,LLLL
82,2023/03/08 11:43:20,500,+  54.3,+  46.7,+ 153.9,+ 119.4,+ 116.6,+  98.7,+ 0.330,+ 0.146,LLLLLLLLLL,LLLL
83,2023/03/08 11:43:21,0,+  54.5,+  46.8,+ 154.2,+ 119.6,+ 116.6,+  98.9,+ 0.343,+ 0.159,LLLLLLLLLL,LLLL
84,2023/03/08 11:43:21,500,+  54.6,+  46.9,+ 154.5,+ 119.8,+ 116.8,+  98.9,+ 0.425,+ 0.164,LLLLLLLLLL,LLLL
85,2023/03/08 11:43:22,0,+  54.6,+  46.9,+ 154.7,+ 119.9,+ 116.8,+  98.9,+ 0.339,+ 0.148,LLLLLLLLLL,LLLL
86,2023/03/08 11:43:22,500,+  54.7,+  46.9,+ 155.0,+ 120.1,+ 116.9,+  98.9,+ 0.330,+ 0.145,LLLLLLLLLL,LLLL
87,2023/03/08 11:43:23,0,+  54.8,+  47.0,+ 155.1,+ 120.3,+ 117.0,+  99.0,+ 0.310,+ 0.148,LLLLLLLLLL,LLLL
88,2023/03/08 11:43:23,500,+  54.9,+  47.0,+ 155.3,+ 120.5,+ 117.1,+  99.1,+ 0.441,+ 0.141,LLLLLLLLLL,LLLL
89,2023/03/08 11:43:24,0,+  55.1,+  47.1,+ 155.5,+ 120.6,+ 117.4,+  99.2,+ 0.404,+ 0.138,LLLLLLLLLL,LLLL
90,2023/03/08 11:43:24,500,+  55.2,+  47.1,+ 155.7,+ 120.8,+ 117.4,+  99.3,+ 0.249,+ 0.160,LLLLLLLLLL,LLLL
91,2023/03/08 11:43:25,0,+  55.3,+  47.1,+ 155.9,+ 121.0,+ 117.5,+  99.6,+ 0.422,+ 0.155,LLLLLLLLLL,LLLL
92,2023/03/08 11:43:25,500,+  55.4,+  47.2,+ 156.2,+ 121.0,+ 117.7,+  99.9,+ 0.443,+ 0.161,LLLLLLLLLL,LLLL
93,2023/03/08 11:43:26,0,+  55.5,+  47.2,+ 156.5,+ 121.3,+ 117.8,+ 100.0,+ 0.391,+ 0.159,LLLLLLLLLL,LLLL
94,2023/03/08 11:43:26,500,+  55.6,+  47.2,+ 156.8,+ 121.4,+ 118.0,+ 100.0,+ 0.357,+ 0.151,LLLLLLLLLL,LLLL
95,2023/03/08 11:43:27,0,+  55.7,+  47.3,+ 157.0,+ 121.6,+ 118.1,+ 100.1,+ 0.455,+ 0.158,LLLLLLLLLL,LLLL
96,2023/03/08 11:43:27,500,+  55.7,+  47.3,+ 157.3,+ 121.8,+ 118.0,+ 100.0,+ 0.362,+ 0.152,LLLLLLLLLL,LLLL
97,2023/03/08 11:43:28,0,+  55.8,+  47.3,+ 157.4,+ 121.9,+ 118.1,+ 100.0,+ 0.358,+ 0.149,LLLLLLLLLL,LLLL
98,2023/03/08 11:43:28,500,+  55.9,+  47.4,+ 157.7,+ 122.1,+ 118.1,+  99.9,+ 0.422,+ 0.146,LLLLLLLLLL,LLLL
99,2023/03/08 11:43:29,0,+  56.0,+  47.5,+ 157.9,+ 122.4,+ 118.1,+  99.9,+ 0.430,+ 0.148,LLLLLLLLLL,LLLL
100,2023/03/08 11:43:29,500,+  56.0,+  47.5,+ 158.1,+ 122.5,+ 118.0,+ 100.1,+ 0.404,+ 0.158,LLLLLLLLLL,LLLL
101,2023/03/08 11:43:30,0,+  56.2,+  47.6,+ 158.2,+ 122.7,+ 118.0,+ 100.4,+ 0.298,+ 0.150,LLLLLLLLLL,LLLL
102,2023/03/08 11:43:30,500,+  56.3,+  47.6,+ 158.4,+ 122.8,+ 118.0,+ 100.4,+ 0.392,+ 0.144,LLLLLLLLLL,LLLL
103,2023/03/08 11:43:31,0,+  56.4,+  47.6,+ 158.5,+ 122.9,+ 117.9,+ 100.4,+ 0.451,+ 0.142,LLLLLLLLLL,LLLL
104,2023/03/08 11:43:31,500,+  56.5,+  47.8,+ 158.6,+ 123.1,+ 117.9,+ 100.4,+ 0.398,+ 0.141,LLLLLLLLLL,LLLL
105,2023/03/08 11:43:32,0,+  56.6,+  47.8,+ 158.7,+ 123.2,+ 117.9,+ 100.5,+ 0.357,+ 0.144,LLLLLLLLLL,LLLL
106,2023/03/08 11:43:32,500,+  56.7,+  47.8,+ 158.9,+ 123.3,+ 118.0,+ 100.6,+ 0.524,+ 0.139,LLLLLLLLLL,LLLL
107,2023/03/08 11:43:33,0,+  56.8,+  47.9,+ 159.0,+ 123.5,+ 118.1,+ 100.7,+ 0.436,+ 0.147,LLLLLLLLLL,LLLL
108,2023/03/08 11:43:33,500,+  56.8,+  47.9,+ 159.2,+ 123.6,+ 118.1,+ 100.7,+ 0.358,+ 0.156,LLLLLLLLLL,LLLL
109,2023/03/08 11:43:34,0,+  56.9,+  48.0,+ 159.5,+ 123.7,+ 118.1,+ 100.8,+ 0.452,+ 0.162,LLLLLLLLLL,LLLL
110,2023/03/08 11:43:34,500,+  57.0,+  48.0,+ 159.7,+ 123.9,+ 118.2,+ 101.0,+ 0.413,+ 0.152,LLLLLLLLLL,LLLL
111,2023/03/08 11:43:35,0,+  57.1,+  48.1,+ 159.8,+ 124.0,+ 118.3,+ 101.1,+ 0.257,+ 0.148,LLLLLLLLLL,LLLL
112,2023/03/08 11:43:35,500,+  57.2,+  48.1,+ 160.0,+ 124.2,+ 118.4,+ 101.1,+ 0.407,+ 0.151,LLLLLLLLLL,LLLL
113,2023/03/08 11:43:36,0,+  57.2,+  48.2,+ 160.2,+ 124.3,+ 118.5,+ 101.1,+ 0.429,+ 0.151,LLLLLLLLLL,LLLL
114,2023/03/08 11:43:36,500,+  57.3,+  48.2,+ 160.4,+ 124.4,+ 118.4,+ 101.1,+ 0.300,+ 0.148,LLLLLLLLLL,LLLL
115,2023/03/08 11:43:37,0,+  57.4,+  48.2,+ 160.5,+ 124.6,+ 118.4,+ 101.2,+ 0.332,+ 0.148,LLLLLLLLLL,LLLL
116,2023/03/08 11:43:37,500,+  57.5,+  48.3,+ 160.7,+ 124.7,+ 118.5,+ 101.3,+ 0.356,+ 0.149,LLLLLLLLLL,LLLL
117,2023/03/08 11:43:38,0,+  57.5,+  48.4,+ 160.9,+ 124.9,+ 118.6,+ 101.5,+ 0.378,+ 0.145,LLLLLLLLLL,LLLL
118,2023/03/08 11:43:38,500,+  57.7,+  48.4,+ 161.0,+ 125.0,+ 118.8,+ 101.8,+ 0.417,+ 0.142,LLLLLLLLLL,LLLL
