"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","stem_sav","lfm","leaf_dmc","stem_dmc","dmc","leaf_area","leaf_sav","LMA","SLA"
"17","ERIKAR",1,2022-08-02,17.316,17.163,0.502218741842861,0.497781258157139,-18600.0000000426,0.126,0.036999999999999,-0.000199999999999534,170.655270655268,0.749,0.0949999999999989,0.0350999999999999,27.4079401705973,278.223495701996,-0.00540540540539295,0.36947368421053,1.04344864864867,0.398693813,15.8730158730159,-0.000501638082855161,-1993.46906500465
"18","ERIKAR",10,2022-09-02,17.408,17.298,0.501584740390711,0.498415259609289,286.81318681319,0.12,0.352,0.0909999999999993,149.999999999997,0.555,0.0890000000000004,0.0356000000000005,40.4571623331345,248.341232227489,0.258522727272725,0.400000000000004,0.281136363636365,0.44049083,16.6666666666667,0.00771611068969019,-606.371959656846
"19","ERIKAR",2,2022-08-02,17.237,17.124,0.501644306044644,0.498355693955356,521.212121212056,0.15,0.0409999999999995,0.00660000000000061,357.264957264944,0.67,0.106999999999999,0.0234000000000005,30.6459913016121,393.333333333311,0.160975609756114,0.218691588785053,0.684331707317093,0.4758123674,13.3333333333333,0.0138710139798703,72.0927829393873
"20","ERIKAR",3,2022-08-02,17.269,17.158,0.501612106776658,0.498387893223342,-622.547612211735,0.25,0.048833333333334,0.00316666666666713,275.545851528387,0.608,0.0860000000000003,0.0228999999999999,32.9960087029959,417.26342710997,0.0648464163822613,0.26627906976744,0.558108646188844,0.3238246098,8,0.00977895617205537,102.260403094722
"21","ERIKAR",4,2022-08-23,17.848,17.53,0.504494318503024,0.495505681496976,346.577629382299,0.22,0.535,0.119800000000001,335.158501440933,0.688,0.151,0.0346999999999991,31.9465655220544,344.012944983817,0.223925233644862,0.229801324503305,0.335659813084112,0.5199202794,9.09090909090909,0.00771611068969019,-606.371959656846
"22","ERIKAR",5,2022-08-23,17.5,17.35,0.502152080344333,0.497847919655667,340.528634361235,0.202,0.4,0.0907999999999998,373.684210526315,0.603,0.108000000000001,0.0228000000000002,34.259511874507,347.18309859155,0.226999999999999,0.211111111111111,0.255800000000001,0.4543189692,9.9009900990099,0.00771611068969019,-606.371959656846
"23","ERIKAR",6,2022-08-23,17.563,17.358,0.502935196586581,0.497064803413419,405.012531328318,0.162,0.403,0.0798000000000005,276.391982182609,0.854,0.168999999999999,0.0449000000000019,24.2274465660436,358.700882117071,0.19801488833747,0.265680473372795,0.360214392059557,0.6013239884,12.3456790123457,0.00771611068969019,-606.371959656846
"24","ERIKAR",7,2022-09-02,17.43,17.623,0.49724702593216,0.50275297406784,277.492877492879,0.11,0.265000000000001,0.0701999999999998,142.819843342028,0.543,0.093,0.0383000000000013,38.8219535595343,229.953917050688,0.264905660377357,0.411827956989262,0.307728301886797,0.4886006742,18.1818181818182,0.00771611068969019,-606.371959656846
"25","ERIKAR",8,2022-09-02,17.735,17.581,0.502180314871446,0.497819685128554,221.449792038027,0.126,0.541,0.1683,67.6646706586803,0.526,0.0839999999999996,0.0501000000000005,43.6102972078524,186.17216117216,0.311090573012939,0.59642857142858,0.344906284658041,0.7213787124,15.8730158730159,0.00771611068969019,-606.371959656846
"26","ERIKAR",9,2022-09-02,17.456,17.326,0.501868782703697,0.498131217296303,280.355276906999,0.196,0.364000000000001,0.0957000000000008,181.767955801099,0.595,0.102,0.0362000000000009,37.9504833102226,253.297952994689,0.26291208791209,0.354901960784321,0.297150549450553,0.3416842868,10.2040816326531,0.00771611068969019,-606.371959656846
