"","species","ignition","prop_ig","fh","fd","temp_change","heat_flux_change","r_fh","r_fd","r_temp_change","r_heat_flux_change"
"32","CEAGRI","M",0.166666666666667,1.22131631555601,0.34518797041638,-0.588613902890769,0.858716437922596,0.168762424018901,0.0731416928188489,-0.449442053337023,-0.800327865909368
"33","CEAGRI","M",0.166666666666667,1.60950421511006,-0.548195814639635,-0.515193296038145,0.946230885670085,0.467203296900209,-0.904459936688365,-0.417690792962616,-0.837949345908139
"34","CEAGRI","M",0.166666666666667,0.988403575823581,1.2385717554724,-0.895645531547185,1.49526028950626,-0.326562817615343,0.720279823990383,-0.878311227674311,-0.529670585670746
"35","CEAGRI","M",0.166666666666667,1.1436787356452,-0.612008942143636,-0.208161667381728,0.155085694779811,0.125267734690113,-0.852015822395603,-0.0531373490590962,-1.45635254958347
"36","CEAGRI","M",0.166666666666667,0.677853256180343,0.409001097920381,-0.648685308497457,0.849642784060051,-0.17569635882156,0.323698736279855,-0.417116212405059,-0.531926201725859
"37","CEAGRI","M",0.166666666666667,1.22131631555601,2.32339492304041,-0.835574125940495,0.884184961458284,-0.0399969641111673,1.85545061595857,-0.793328799716513,-1.0659363916965
"38","CEAGRI","1",0.166666666666667,0.910765995912772,3.28059183560043,-0.168114063643935,1.15796606035493,0.088079206697067,3.02136131694113,-0.217088096579782,-0.476424269214602
"39","CEAGRI","M",0.166666666666667,0.755490836091153,0.664253607936386,-1.56310559384374,1.36927324191958,-1.48266264553918,-0.923238783534752,-2.26927768916972,-2.2387282959089
"40","CEAGRI","M",0.166666666666667,0.444940516447914,-0.101503922111627,-1.54308179197485,0.624504992049601,-0.0558275901373103,-0.058648694369896,-1.44258969080405,-0.561028205386612
"41","CEAGRI","M",0.166666666666667,0.910765995912772,0.34518797041638,-0.84224872656346,1.05430826943568,0.141732320468814,0.136305076157248,-0.866311737148199,-0.505272538111633
"42","CEAGRI","M",0.166666666666667,0.522578096358724,-0.612008942143636,-0.108042658037244,0.183885099160023,0.0169324339760676,-0.573730771165557,-0.00981519526200125,-1.00844896391457
"43","CEAGRI","M",0.166666666666667,-0.020884963016943,0.217561715408378,-0.475145692300352,0.511489609837385,-0.805526817012682,-0.00596776049444125,-0.506455545750868,-1.06985396775276
