"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","stem_sav","lfm","leaf_dmc","stem_dmc","dmc","leaf_area","leaf_sav","LMA","SLA","rep","branch_length","branch_width","branch_height","sample_wt","no_branches","mpa","notes_on_plant_char","start_time","ambient_temp","ambient_humidity","pre_ignition_glow","first_glow_time","ignition","primary_ignition","primary_time_of_flame_end","secondary_ignition","secondary_time_of_flame_end","third_ignition","third_time_of_ignition_flame_end","time_fh","fh","time_of_glow_end","end_time","thermocoupler_height","hotplate_height","notes_on_flam_data","fd","tti","pfg","max_temp","time_at_max_temp","max_temp_sensor","start_temp","start_temp_sensor","stable_avg_temp","temp_change","avg_temp_ch3","max_heat_flux_loessCH7","time_at_max_heat_flux_loessCH7","max_heat_flux_loessCH8","time_at_max_heat_flux_loessCH8","avg_heat_flux_stableCH7","avg_heat_flux_stableCH8","heat_flux_change","prop_ig","wet_mass","dry_mass","gdw_gfw","dw_flam_sample","ww_flam_sample","branch_volume","branching","sample_density","dw_sppdev"
"68","ERIKAR",4,2022-08-23,17.848,17.53,0.504494318503024,0.495505681496976,346.577629382299,0.22,0.535,0.119800000000001,335.158501440933,0.688,0.151,0.0346999999999991,31.9465655220544,344.012944983817,0.223925233644862,0.229801324503305,0.335659813084112,0.5199202794,9.09090909090909,0.00771611068969019,-606.371959656846,3,25,2.4,2.2,0.576400000000003,0,0.12,NA,"11:15:30",26.6,52,0,NA,"M","11:26:02","11:26:06",NA,NA,NA,NA,"11:26:02",4,"11:26:16","11:26:16",19,15,NA,4,632,10,175.4,"11:26:02","CH2",172.8,"CH2",174.405115511551,2.59999999999999,219.205736434109,5083.04159005498,"11:23:19",3635.18044206085,"11:24:41",0.684330858085809,0.425122937293729,3634.75531912356,0.0408163265306122,0.686,0.154500000000001,0.183819155264724,0.105953361094587,0.470446638905416,132,0.04,0.00436666666666669,-0.60329285817833
"69","ERIKAR",4,2022-08-23,17.848,17.53,0.504494318503024,0.495505681496976,346.577629382299,0.22,0.535,0.119800000000001,335.158501440933,0.688,0.151,0.0346999999999991,31.9465655220544,344.012944983817,0.223925233644862,0.229801324503305,0.335659813084112,0.5199202794,9.09090909090909,0.00771611068969019,-606.371959656846,2,25,16.9,4.2,1.0464,2,0.12,NA,"11:02:27",25.4,56,0,NA,"M","11:12:33","11:12:37",NA,NA,NA,NA,"11:12:37",9,"11:13:53","11:13:53",19,15,NA,4,606,76,175.2,"11:12:37","CH2",171.8,"CH2",172.781120689655,3.39999999999998,218.722189781022,5120.99593218518,"11:11:04",3526.02819582632,"11:04:09",0.675731896551724,0.418801724137931,3525.60939410218,0.0408163265306122,0.686,0.154500000000001,0.183819155264724,0.192348364069007,0.854051635930995,1774.5,0.12,0.000589687235841083,0.816046885648107
"70","ERIKAR",4,2022-08-23,17.848,17.53,0.504494318503024,0.495505681496976,346.577629382299,0.22,0.535,0.119800000000001,335.158501440933,0.688,0.151,0.0346999999999991,31.9465655220544,344.012944983817,0.223925233644862,0.229801324503305,0.335659813084112,0.5199202794,9.09090909090909,0.00771611068969019,-606.371959656846,8,25,7,2.4,1.4164,2,0.12,NA,"12:18:44",32,38,0,NA,"M","12:28:56","12:29:03",NA,NA,NA,NA,"12:28:58",7,"12:29:32","12:29:32",19,15,NA,7,612,29,174.5,"12:28:57","CH2",174,"CH2",178.602986348123,0.5,222.190417310665,5165.12976434717,"12:19:24",3814.95280070833,"12:28:14",0.700803754266212,0.450275597269625,3814.50252511106,0.0408163265306122,0.686,0.154500000000001,0.183819155264724,0.260361451516955,1.15603854848305,420,0.12,0.00337238095238096,1.93339944993701
"71","ERIKAR",4,2022-08-23,17.848,17.53,0.504494318503024,0.495505681496976,346.577629382299,0.22,0.535,0.119800000000001,335.158501440933,0.688,0.151,0.0346999999999991,31.9465655220544,344.012944983817,0.223925233644862,0.229801324503305,0.335659813084112,0.5199202794,9.09090909090909,0.00771611068969019,-606.371959656846,7,25,2.5,2.5,0.706400000000002,0,0.07,NA,"12:06:09",30.2,39,0,NA,"M","12:16:47","12:16:49",NA,NA,NA,NA,"12:16:48",7,"12:17:07","12:17:07",19,15,NA,2,638,18,174.2,"12:16:47","CH2",171.2,"CH2",176.138316993464,3,223.204870624049,5231.96855562947,"12:15:03",3760.82970698629,"12:12:41",0.702290032679739,0.448591503267974,3760.38111548302,0.0408163265306122,0.686,0.154500000000001,0.183819155264724,0.129849851279001,0.576550148721001,156.25,0.04,0.00452096000000001,-0.21070952477953
"72","ERIKAR",4,2022-08-23,17.848,17.53,0.504494318503024,0.495505681496976,346.577629382299,0.22,0.535,0.119800000000001,335.158501440933,0.688,0.151,0.0346999999999991,31.9465655220544,344.012944983817,0.223925233644862,0.229801324503305,0.335659813084112,0.5199202794,9.09090909090909,0.00771611068969019,-606.371959656846,9,25,2.5,1.8,0.936400000000003,1,0.14,NA,"12:31:04",34,36,0,NA,"M","12:41:32","12:41:42",NA,NA,NA,NA,"12:41:33",8,"12:42:10","12:42:10",19,15,NA,10,628,28,172.1,"12:41:32","CH2",175.2,"CH2",178.23803986711,-3.09999999999999,221.171578947368,5165.57371294295,"12:34:31",3790.84827856031,"12:35:05",0.69810049833887,0.448527408637874,3790.39975115167,0.0408163265306122,0.686,0.154500000000001,0.183819155264724,0.172128256989888,0.764271743010115,112.5,0.08,0.00832355555555558,0.483860988156814
"73","ERIKAR",5,2022-08-23,17.5,17.35,0.502152080344333,0.497847919655667,340.528634361235,0.202,0.4,0.0907999999999998,373.684210526315,0.603,0.108000000000001,0.0228000000000002,34.259511874507,347.18309859155,0.226999999999999,0.211111111111111,0.255800000000001,0.4543189692,9.9009900990099,0.00771611068969019,-606.371959656846,4,25,2,1.3,0.816400000000002,1,0.25,NA,"14:02:25",29.8,40,0,NA,"M","14:12:52","14:12:55",NA,NA,NA,NA,"14:12:53",4,"14:17:08","14:17:08",19,15,NA,3,627,253,174,"14:12:52","CH2",174.8,"CH2",176.034858569052,-0.800000000000011,222.615306122449,5112.18003506456,"14:06:26",3811.9691665961,"14:08:45",0.695968386023294,0.453777870216306,3811.51538872588,0.0408163265306122,0.508000000000001,0.1136,0.182754182754182,0.149200514800515,0.667199485199487,65,0.08,0.01256,0.107192724886789
"74","ERIKAR",5,2022-08-23,17.5,17.35,0.502152080344333,0.497847919655667,340.528634361235,0.202,0.4,0.0907999999999998,373.684210526315,0.603,0.108000000000001,0.0228000000000002,34.259511874507,347.18309859155,0.226999999999999,0.211111111111111,0.255800000000001,0.4543189692,9.9009900990099,0.00771611068969019,-606.371959656846,5,25,1,0.7,0.766400000000001,0,0.12,NA,"14:18:20",29.7,40,0,NA,"M","14:28:47","14:28:49",NA,NA,NA,NA,"14:28:49",4,"14:29:46","14:29:46",19,15,NA,2,627,57,170.1,"14:28:47","CH1",170.6,"CH2",169.880116472546,-0.5,223.575620437956,5061.40953227511,"14:28:22",3771.81340767741,"14:25:03",0.675217138103161,0.450356073211314,3771.3630516042,0.0408163265306122,0.508000000000001,0.1136,0.182754182754182,0.140062805662806,0.626337194337195,17.5,0.04,0.0437942857142858,-0.0429260701842265
"75","ERIKAR",5,2022-08-23,17.5,17.35,0.502152080344333,0.497847919655667,340.528634361235,0.202,0.4,0.0907999999999998,373.684210526315,0.603,0.108000000000001,0.0228000000000002,34.259511874507,347.18309859155,0.226999999999999,0.211111111111111,0.255800000000001,0.4543189692,9.9009900990099,0.00771611068969019,-606.371959656846,3,25,3,1.5,0.666400000000003,0,0.15,NA,"13:49:44",29.1,41,0,NA,"M","14:00:16","14:00:21",NA,NA,NA,NA,"14:00:17",10,"14:00:18","14:00:18",19,15,NA,5,632,-3,179.8,"14:00:21","CH2",176.3,"CH2",179.589686468647,3.5,222.982306477093,5316.79911644896,"13:57:12",3861.64427190808,"13:59:02",0.704030528052805,0.452526402640264,3861.19174550544,0.0408163265306122,0.508000000000001,0.1136,0.182754182754182,0.121787387387388,0.544612612612615,112.5,0.04,0.00592355555555558,-0.343163660326247
"76","ERIKAR",5,2022-08-23,17.5,17.35,0.502152080344333,0.497847919655667,340.528634361235,0.202,0.4,0.0907999999999998,373.684210526315,0.603,0.108000000000001,0.0228000000000002,34.259511874507,347.18309859155,0.226999999999999,0.211111111111111,0.255800000000001,0.4543189692,9.9009900990099,0.00771611068969019,-606.371959656846,7,21.5,2,1.5,0.4664,0,0.14,NA,"14:42:37",30.5,37,0,NA,"M","14:52:58","14:53:00",NA,NA,NA,NA,"14:52:59",2,"14:53:24","14:53:24",19,15,NA,2,621,24,174.2,"14:53:00","CH2",175.3,"CH2",175.221848739496,-1.10000000000002,222.301083591331,5116.09666426503,"14:48:11",3778.66002318034,"14:46:35",0.68243781512605,0.451873109243698,3778.2081500711,0.0408163265306122,0.508000000000001,0.1136,0.182754182754182,0.0852365508365507,0.381163449163449,64.5,0.0465116279069767,0.00723100775193799,-0.943638840610309
"77","ERIKAR",5,2022-08-23,17.5,17.35,0.502152080344333,0.497847919655667,340.528634361235,0.202,0.4,0.0907999999999998,373.684210526315,0.603,0.108000000000001,0.0228000000000002,34.259511874507,347.18309859155,0.226999999999999,0.211111111111111,0.255800000000001,0.4543189692,9.9009900990099,0.00771611068969019,-606.371959656846,1,25,3,1,0.766400000000001,0,0.13,NA,"13:23:16",30.4,41,0,NA,"M","13:33:40","13:33:44",NA,NA,NA,NA,"13:33:43",4,"13:35:05","13:35:05",19,15,NA,4,624,81,175.1,"13:33:42","CH2",169.1,"CH2",173.905936454849,6,215.955084745763,5076.41402646018,"13:31:23",3718.92917112662,"13:34:08",0.68741220735786,0.438375418060201,3718.49079570855,0.0408163265306122,0.508000000000001,0.1136,0.182754182754182,0.140062805662806,0.626337194337195,75,0.04,0.0102186666666667,-0.0429260701842265
"78","ERIKAR",5,2022-08-23,17.5,17.35,0.502152080344333,0.497847919655667,340.528634361235,0.202,0.4,0.0907999999999998,373.684210526315,0.603,0.108000000000001,0.0228000000000002,34.259511874507,347.18309859155,0.226999999999999,0.211111111111111,0.255800000000001,0.4543189692,9.9009900990099,0.00771611068969019,-606.371959656846,2,25,2.1,0.9,0.656400000000001,0,0.16,NA,"13:36:30",29.4,42,0,NA,"M","13:46:53","13:46:57",NA,NA,NA,NA,"13:46:54",5,"13:48:27","13:48:27",19,15,NA,4,623,90,177.2,"13:46:57","CH2",171.9,"CH2",178.626884422111,5.29999999999998,219.252793296089,5162.36537465516,"13:38:23",3777.38783612533,"13:45:13",0.691248743718593,0.443386934673367,3776.94444919066,0.0408163265306122,0.508000000000001,0.1136,0.182754182754182,0.119959845559846,0.536440154440156,47.25,0.04,0.0138920634920635,-0.373187419340454
