"","label","species","plant_number","leaf_number","area_cm2","std_dev_cm2","x","y","xm","ym","perim","bx","by","width","height","major","minor","angle","circ","feret","feret_x","feret_y","feret_angle","min_feret","ar","round","solidity","x_1"
"244","MALLAU_P4_R1_W_00001.jpg","MALLAU",4,4,15.180731135,39.628024678,8.589229634,19.154686413,8.610552454,19.159720367,22.103456833,4.167848963,17.624770211,8.162740632,3.003551075,6.913082499,2.795960731,174.030764801,0.390465038,8.214380542,988,4434,173.572075886,2.910625685,2.47252489,0.404444867,0.9145454,39
"245","MALLAU_P4_R1_W_00001.jpg","MALLAU",4,5,36.58080957,25.914603966,15.261114771,24.240861417,15.273572908,24.245768764,32.485671503,8.854569812,21.522637056,12.111229123,5.214029675,10.21318191,4.560393982,166.827545534,0.435591584,12.409422015,2104,5263,166.974725801,4.723889565,2.23953938,0.446520391,0.911947399,40
"246","MALLAU_P5_R1_W_00001.jpg","MALLAU",5,1,9.383315004,19.010366969,16.68531236,6.394136896,16.684631642,6.392441305,19.775460651,13.95470078,5.239340498,5.602128971,2.303284953,5.179230339,2.306753502,179.866935767,0.301517791,5.602764247,3308,1513,179.137176983,2.275515429,2.245246549,0.445385386,0.943558561,42
"247","MALLAU_P5_R1_W_00001.jpg","MALLAU",5,2,13.519681902,15.465909751,8.752164866,9.279835812,8.748450442,9.278756014,21.596628284,5.669624501,7.60168404,6.530192505,3.218693076,5.629279057,3.057903766,2.789003831,0.364254085,6.557225509,1344,2293,5.204440402,3.207928538,1.840894772,0.543214102,0.931455607,44
"248","MALLAU_P5_R1_W_00001.jpg","MALLAU",5,3,13.548297057,13.663039052,15.87147777,13.735837629,15.868099491,13.735172065,26.525237027,12.524639243,12.073262888,7.504659216,3.2440039,6.578414811,2.622246859,14.087189328,0.241978081,7.623612104,2969,3514,10.1347036,2.763507396,2.508693943,0.39861379,0.890482323,45
"249","MALLAU_P5_R1_W_00001.jpg","MALLAU",5,4,7.356301431,14.586191082,8.081816746,17.740836596,8.080129502,17.739441495,14.769938476,6.264428857,16.16517938,4.661410025,3.134323664,4.29559844,2.180449131,147.029103234,0.423752241,5.073901326,1501,3902,154.542799038,2.122297546,1.970052123,0.507600783,0.893411152,46
"250","MALLAU_P5_R1_W_00001.jpg","MALLAU",5,5,7.400523234,13.808236143,14.760537414,22.48223691,14.758492121,22.481268148,14.219181529,12.541513126,21.383427526,4.821711908,2.214697071,4.426905502,2.12849333,173.416539901,0.459963207,4.91101369,2973,5267,169.056848166,2.15064466,2.079830573,0.480808395,0.921238449,47
"251","MALLAU_P6_R1_W_00001.jpg","MALLAU",6,1,17.736270888,16.35322203,15.726604185,4.660191984,15.726018015,4.66006705,26.289524355,9.719356287,3.096357428,10.546176527,2.965584839,8.388442877,2.692099333,176.803692619,0.322482922,10.553160845,2304,960,177.915353992,2.958507508,3.1159485,0.320929566,0.843266623,48
"252","MALLAU_P6_R1_W_00001.jpg","MALLAU",6,2,11.576841017,16.048464414,6.224015292,10.031108699,6.225711364,10.031235458,20.645514131,1.38365836,8.900972989,8.474907457,2.290629542,6.826995235,2.159089216,179.041105735,0.341309619,8.476587119,328,2349,178.859368638,2.267556574,3.16197922,0.316257613,0.8777781,49
"253","MALLAU_P6_R1_W_00001.jpg","MALLAU",6,3,13.641314105,15.931795436,16.641838713,14.5072822,16.644642352,14.507187537,21.710573258,11.461584649,13.220686894,9.035964048,2.581704014,7.250435825,2.395533314,176.52870704,0.363683411,9.056929669,2717,3404,176.100716485,2.574942547,3.026647879,0.330398527,0.850127537,51
"254","MALLAU_P6_R1_W_00001.jpg","MALLAU",6,4,12.753496895,19.355296971,6.727223219,19.295455939,6.729674108,19.295178901,21.022517265,1.889874834,18.025524919,8.339916397,2.636544132,6.776055188,2.396417404,3.06648589,0.362634993,8.342374142,448,4543,1.390823071,2.577764491,2.82757719,0.353659664,0.876945893,52
"255","MALLAU_P6_R1_W_00001.jpg","MALLAU",6,5,12.651510917,16.25029133,15.673903908,24.656581206,15.675928727,24.656065084,21.589385363,10.529302644,23.256428477,8.938939224,2.632325661,6.899905137,2.334583401,173.067963547,0.341092132,8.999951585,2496,5764,173.324679663,2.617790513,2.955518802,0.338350072,0.851797315,53
"256","MALLAU_P7_R1_W_00001.jpg","MALLAU",7,1,16.100188734,9.806420437,15.829455662,2.574275574,15.830708324,2.5735788,25.464472769,9.681390052,1.286633536,10.588361233,2.590140955,8.37527058,2.447610113,0.487999371,0.312012112,10.588697361,2295,618,179.543469586,2.587379658,3.421815645,0.292242512,0.855302639,55
"257","MALLAU_P7_R1_W_00001.jpg","MALLAU",7,2,19.911592111,12.059211191,7.117914616,5.315085819,7.119589961,5.314804224,28.144996736,0.75932471,3.944270021,11.461584649,2.779972132,9.532161433,2.659651397,178.70090946,0.315873684,11.494800642,180,1098,175.643224672,2.779972132,3.583989031,0.279018711,0.891887766,56
